name	lat	lng
Bayji	35.018003	43.445215
Baqubah	33.759641	44.606658
Ar Rutbah	33.03639	40.283332
Tikrit	34.61872	43.656722
Taji	33.537227	44.26214
Erbil	36.206293	44.00887
Baghdad	33.312806	44.361488
Kirkuk	35.465576	44.380392
Haditha	34.125183	42.374164
Kisik	36.470764	42.670338
Qayyarah	35.816667	43.266667
Habbaniyah	33.3806	43.584719
Al Qaim	34.316858	41.16026
Makhmur	35.774954	43.58102
Tal Afar	36.362358	42.403671
Hit	33.643245	42.829664
Sultan Abdallah	35.879444	43.388333
Sinjar	36.314216	41.862443
Ramadi	33.435279	43.281158
Mosul	36.356648	43.164
Al Asad	33.8	42.416667
Fallujah	33.344358	43.781277
Rawah	34.475809	41.906062
Samarra	34.166004	43.905515
Al Baghdadi	33.875549	42.531346
Al Waleed	33.429420	38.937981
Al Hawijah	35.3240351	43.7645959
Albu Hayat	33.187602	40.0399745
Tuz	34.880964	44.620763
